RSO Name,Committee,Request Description,Type,Requested,Final Allocation
Delta Sigma Pi Professional Business Fraternity- Alpha Psi Chapter,sgfc,North Central LEAD Provincial Conference 2026,,5050.0,0.0
Sliced Bread,sgfc,Spring 2026 Sliced Bread Literature Magazine Printing,,1800.0,1800.0
TAMID Group,sgfc,TA-MIDway Skating: Learn about TAMID,,1317.0,1257.0
Organization of Black Students,sgfc,Funding Request for Black Conference 2026,,2500.0,1600.0
Meditation and Buddhist Groups of UChicago,sgfc,Finding the Stillness Within,,525.0,0.0
Meditation and Buddhist Groups of UChicago,sgfc,Chan/Zen Beginner’s Meditation Class with Iris Wang,,918.0,676.0
Graduate Christian Fellowship,sgfc,Year-End BBQ,,425.0,0.0
Dirt Red Brass Band,sgfc,Mixer and Bag,,147.89,0.0
Dirt Red Brass Band,sgfc,Speaker,,796.0,475.63
Dirt Red Brass Band,sgfc,Request Title Music & Service: Dirt Red Brass Band in New Orleans 2026,,8127.65,2242.85
Voices in Your Head,sgfc,Boston Sings [Boss] A Capella Event,,8734.12,3255.06
Outdoor Adventure Club,sgfc,"Big Bend National Park, Carlsbad Caverns, White Sands",,7915.0,1803.5
Outdoor Adventure Club,sgfc,"Great Sand Dunes, Mesa Verde, Canyonlands, Arches",,7214.38,1955.08
Outdoor Adventure Club,sgfc,Michigan: Upper Peninsula and Sleeping Bear Dunes),,2577.36,617.47
The Black Graduate Coalition,sgfc,Black History Month Gala,,3021.67,935.0
International Student Organization,sgfc,Lunar New Year and Holi Celebration,,800.0,800.0
Furries at UChicago,sgfc,Study Breaks,,153.0,33.0
Kreyòl Club,sgfc,Haitian Heritage Month,,1685.0,1216.0
University of Chicago Undergraduate Law Magazine,sgfc,ULM Winter SGFC Funding Request,,270.0,270.0
Tennis Club,sgfc,Club Tennis Sectionals Tournament,,3652.72,1927.22
Occam's Razor,sgfc,Occam's Razor Annual Retreat,,3495.0,0.0
Argentine Tango Club,sgfc,Where Fun Comes to Dance Choreography Workshop,,3000.0,1875.0
UChicago Space Program,sgfc,PULSE-A Work Session Food,,300.0,300.0
Writers' Workshop,sgfc,Funding Request for UChicago Writers' Workshop Write-In Events,,300.0,0.0
"Kheyal, Bengali Student Association",sgfc,Sahana Bajpaie Concert Event for Boshonto Utsab (Festival of Welcoming Spring),,12500.0,1946.0
Argentine Tango Club,sgfc,Milonga Corazón Rojo,,1257.0,770.75
Argentine Tango Club,sgfc,Practilonga la Primavera,,797.0,697.0
Phoenix Funds,sgfc,Winter Bowling Social,,306.0,0.0
The Classics Society,sgfc,"The Classics Society, Faculty Dinner and Workshop",,400.0,240.0
The University of Chicago Glee Club,sgfc,Winter Concert (Director Payment),,4000.0,2667.0
University Ministry of Christ Church Chicago,sgfc,UMC3 Bulls Game Funding,,179.88,179.88
Alianza de Latinx Medical Advocacy,sgfc,Pritzker School of Medicine Admissions Mixer Event,,34.14,29.85
Alianza de Latinx Medical Advocacy,sgfc,Latino Transplant Program: A Conversation with Dr. Perez-Gutierrez Event,,328.93,271.71
Dear Asian Youth,sgfc,Community Immersion Outing,,756.0,666.0
Pep Band,sgfc,Pep Band-WashU Trip,,2954.0,531.72
Ballroom and Latin Dance Association,sgfc,Badger Ballroom Dancesport Classic,,1160.0,369.9
Nigerian Students Association,sgfc,NSA Wedding 2026,,17515.0,0.0
UChicago Space Program,sgfc,PULSE-A Engineering Work Session,,300.0,300.0
Chicago Shady Dealer,sgfc,Distribution Party,,288.68,0.0
Kappa Theta Pi,sgfc,Unlock Your Tech Potential: All you need to know about Tech Recruitment (4-week workshop),,1450.0,0.0
Hindu Sangam,sgfc,Holi - colors,,540.0,540.0
Latino Medical Student Association,sgfc,LMSA Midwest Regional Conference 2026,,3104.19,0.0
Medusa,sgfc,Medusa Album Recording,,9300.0,0.0
MODA,sgfc,SGFC Request: MODA Magazine Launch Celebration,,360.2,0.0
The University of Chicago Chapter of Partners in Health Engage,sgfc,Strides in Solidarity - 5k Run,,635.34,0.0
Arab Student Association,sgfc,Funding for Iftar collaboration with SASA and ACSA,,1445.0,1145.0
African and Caribbean Students Association,sgfc,ACSA Annual Culture Show: re:genesis,,3000.0,0.0
Kappa Theta Pi,sgfc,Semi - formal,,800.0,0.0
Latino Medical Student Association,sgfc,LMSA Midwest Regional Conference 2026,,2444.19,569.18
UChicago Computational Biology Outreach,sgfc,Spring Events Materials,,159.99,159.99
UChicago Space Program,sgfc,IEEE AeroConf,,2630.0,954.27
Taiwanese American Student Association,sgfc,TASAssin Dinner,,245.46,0.0
Furries at UChicago,sgfc,Bunny Interaction Event,,240.0,240.0
Blockchain Chicago,sgfc,Blockchain Chicago - Winter Social & Projects Presentation,,424.0,380.07
CityStep UChicago,sgfc,CityStep SGFC: Spring Showcase,,247.9,0.0
Euphony Journal,sgfc,Euphony Spring Issue 2026 - Printing and Distribution,,1200.0,1200.0
Firebird Magazine,sgfc,Issue 5 Printing,,2638.27,2338.37
Taiwanese American Student Association,sgfc,TASA Lantern Making,,44.5,44.5
University of Chicago Association of Peruvian Students,sgfc,Peru Forum 2026,,2450.0,0.0
Arab Student Association,sgfc,Funding for Arab Conference at Harvard,,22464.16,7113.07
Minorities in Public Policy Studies,sgfc,Annual Minorities in Public Policy Gala SGFC Funding Request,,2000.0,0.0
Medusa,sgfc,Medusa Album Recording,,7100.0,0.0
University of Chicago Undergraduate Law Magazine,sgfc,"ULM Spring 2026, Volume IV Issue II Printing",,2492.0,2492.0
University of Chicago Association of Peruvian Students,sgfc,Peru Forum,,1953.0,1953.0
Student National Medical Association - Graduate,sgfc,Annual Medical Education Conference (AMEC),,1500.0,1500.0
Game Music Ensemble,sgfc,Spring Study Break,,119.5,119.5
Women in Science,sgfc,Women in Science,,840.0,810.0
Nigerian Students Association,sgfc,NSA Wedding 2026,,10000.0,8438.87
Ballroom and Latin Dance Association,sgfc,SGFC Request for Irish Dancesport Gala,,1223.0,1223.0
Hispanic and Luso-Brazilian Student Committee,sgfc,"10th Chicago Graduate Conference in Hispanic, Luso-Brazilian, and Latinx Studies - Keynote speaker hotel",,604.0,0.0
OUTPatient,sgfc,Paris is Burning Screening Fundraiser Event,,200.0,200.0
University of Chicago Undergraduate Law Magazine,sgfc,ULM Spring Fundraiser,,199.5,199.5
Ukrainian Society,sgfc,Ukrainian Easter Egg-Painting Workshop (Pysanka),,289.73,289.73
Everest Society,sgfc,Spring Quarter Everest Launch Networking Event,,844.75,844.75
Black Student Fellowship,sgfc,Week 3 BSF Food,,156.89,78.45
UChicago Survivor Production,sgfc,"Funding Request---Season 5 Screening Room Reservation, March 26, 2026",,140.0,140.0
neXus Dance Collective,sgfc,neXus - Spring Showcase Funding,,1656.4,1656.4
Muslim Students Association,sgfc,Quran Club Meals,,2789.28,1239.68
Game Music Ensemble,sgfc,Square Enix Concert,,1190.0,1190.0
CS Student Activities Council,sgfc,Uncommon Hacks,,4050.0,0.0
UChicago Bhangra,sgfc,Bhangra in the 404 Competition,,5942.0,3104.5
"Kheyal, Bengali Student Association",sgfc,Drama rehearsals,,8450.0,1237.5
Remedy,sgfc,REMEDY SGFC 2025-26 Application,,13452.35,0.0
JGrads Chabad at UChicago,sgfc,Shavuot Scholar in Residence,,1417.9,1417.9
