RSO Name,Request Description,Type,Requested,Final Allocation
Outdoor Adventure Club,"Big Bend National Park, Carlsbad Caverns, White Sands",Travel,7915.0,1803.5
Outdoor Adventure Club,"Great Sand Dunes, Mesa Verde, Canyonlands, Arches",Travel,7214.38,1955.08
Outdoor Adventure Club,Michigan: Upper Peninsula and Sleeping Bear Dunes),Travel,2577.36,617.47
The Black Graduate Coalition,Black History Month Gala,Event,3021.67,935.0
International Student Organization,Lunar New Year and Holi Celebration,Event,800.0,800.0
Furries at UChicago,Study Breaks,Event,153.0,33.0
Kreyòl Club,Haitian Heritage Month,Event,1685.0,1216.0
University of Chicago Undergraduate Law Magazine,ULM Winter SGFC Funding Request,Event,270.0,270.0
Tennis Club,Club Tennis Sectionals Tournament,Travel,3652.72,1927.22
Occam's Razor,Occam's Razor Annual Retreat,Travel,3495.0,0.0
Argentine Tango Club,Where Fun Comes to Dance Choreography Workshop,Event,3000.0,1875.0
UChicago Space Program,PULSE-A Work Session Food,Event,300.0,300.0
Writers' Workshop,Funding Request for UChicago Writers' Workshop Write-In Events,Event,300.0,0.0
"Kheyal, Bengali Student Association",Sahana Bajpaie Concert Event for Boshonto Utsab (Festival of Welcoming Spring),Event,12500.0,1946.0
Argentine Tango Club,Milonga Corazón Rojo,Event,1257.0,770.75
Argentine Tango Club,Practilonga la Primavera,Event,797.0,697.0
Phoenix Funds,Winter Bowling Social,Event,306.0,0.0
The Classics Society,"The Classics Society, Faculty Dinner and Workshop",Event,400.0,240.0
The University of Chicago Glee Club,Winter Concert (Director Payment),Other,4000.0,2667.0
University Ministry of Christ Church Chicago,UMC3 Bulls Game Funding,Event,179.88,179.88
Alianza de Latinx Medical Advocacy,Pritzker School of Medicine Admissions Mixer Event,Event,34.14,29.85
Alianza de Latinx Medical Advocacy,Latino Transplant Program: A Conversation with Dr. Perez-Gutierrez Event,Event,328.93,271.71
Dear Asian Youth,Community Immersion Outing,Event,756.0,666.0
Pep Band,Pep Band-WashU Trip,Travel,2954.0,531.72
Ballroom and Latin Dance Association,Badger Ballroom Dancesport Classic,Travel,1160.0,369.9
Nigerian Students Association,NSA Wedding 2026,Event,17515.0,0.0
UChicago Space Program,PULSE-A Engineering Work Session,Event,300.0,300.0
Chicago Shady Dealer,Distribution Party,Event,288.68,0.0
Kappa Theta Pi,Unlock Your Tech Potential: All you need to know about Tech Recruitment (4-week workshop),Event,1450.0,0.0
Hindu Sangam,Holi - colors,Event,540.0,540.0
Latino Medical Student Association,LMSA Midwest Regional Conference 2026,Event,3104.19,0.0
Medusa,Medusa Album Recording,Other,9300.0,0.0
MODA,SGFC Request: MODA Magazine Launch Celebration,Event,360.2,0.0
The University of Chicago Chapter of Partners in Health Engage,Strides in Solidarity - 5k Run,Event,635.34,0.0
Arab Student Association,Funding for Iftar collaboration with SASA and ACSA,Event,1445.0,1145.0
African and Caribbean Students Association,ACSA Annual Culture Show: re:genesis,Event,3000.0,0.0
Kappa Theta Pi,Semi - formal,Event,800.0,0.0
Latino Medical Student Association,LMSA Midwest Regional Conference 2026,Travel,2444.19,569.18
UChicago Computational Biology Outreach,Spring Events Materials,Other,159.99,159.99
UChicago Space Program,IEEE AeroConf,Travel,2630.0,954.27
Taiwanese American Student Association,TASAssin Dinner,Event,245.46,0.0
Furries at UChicago,Bunny Interaction Event,Event,240.0,240.0
Blockchain Chicago,Blockchain Chicago - Winter Social & Projects Presentation,Event,424.0,380.07
CityStep UChicago,CityStep SGFC: Spring Showcase,Event,247.9,0.0
Euphony Journal,Euphony Spring Issue 2026 - Printing and Distribution,,1200.0,1200.0
Firebird Magazine,Issue 5 Printing,Publication,2638.27,2338.37
Taiwanese American Student Association,TASA Lantern Making,Event,44.5,44.5
University of Chicago Association of Peruvian Students,Peru Forum 2026,Event,2450.0,0.0
Arab Student Association,Funding for Arab Conference at Harvard,Travel,22464.16,7113.07
Minorities in Public Policy Studies,Annual Minorities in Public Policy Gala SGFC Funding Request,Event,2000.0,0.0
Medusa,Medusa Album Recording,Other,7100.0,0.0
University of Chicago Undergraduate Law Magazine,"ULM Spring 2026, Volume IV Issue II Printing",Publication,2492.0,2492.0
University of Chicago Association of Peruvian Students,Peru Forum,Event,1953.0,1953.0
Student National Medical Association - Graduate,Annual Medical Education Conference (AMEC),Event,1500.0,1500.0
Game Music Ensemble,Spring Study Break,Event,119.5,119.5
Women in Science,Women in Science,Event,840.0,810.0
Nigerian Students Association,NSA Wedding 2026,Event,10000.0,8438.87
Ballroom and Latin Dance Association,SGFC Request for Irish Dancesport Gala,Travel,1223.0,1223.0
Hispanic and Luso-Brazilian Student Committee,"10th Chicago Graduate Conference in Hispanic, Luso-Brazilian, and Latinx Studies - Keynote speaker hotel",Event,604.0,0.0
OUTPatient,Paris is Burning Screening Fundraiser Event,Event,200.0,200.0
University of Chicago Undergraduate Law Magazine,ULM Spring Fundraiser,Event,199.5,199.5
Ukrainian Society,Ukrainian Easter Egg-Painting Workshop (Pysanka),Event,289.73,289.73
Everest Society,Spring Quarter Everest Launch Networking Event,Other,844.75,844.75
